date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:48	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2001%20Dec%202023%2020:07:49%20GMT	https://wedding.nicdark.com/wedding-planner/product/isadora/?add-to-cart=4146	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/product/isadora/indexf708.html	(from https://wedding.nicdark.com/wedding-planner/product/isadora/)
21:07:48	689/689	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:07:50%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/wp/v2/categories/6	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/wp/v2/categories/6.json	(from https://wedding.nicdark.com/wedding-planner/category/blog/)
21:07:48	59233/59233	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab32ed4bc94366403d9ee7105ada2fb8%22	https://wedding.nicdark.com/wedding-planner/category/blog/feed/	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/category/blog/feed/index.html	(from https://wedding.nicdark.com/wedding-planner/category/blog/)
21:07:49	74284/74284	---M--	200	added ('OK')	image/jpeg	etag:%221222c-5f572f71690d1%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/post-06.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/post-06.jpg	(from https://wedding.nicdark.com/wedding-planner/category/blog/)
21:07:49	9517/9517	---MCZ	200	added ('OK')	text/css	etag:W/%22252d-5fd2dd7af2bd6%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4066.css?ver=1685748217	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4066ec86.css	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:50	4583/4583	---MCZ	200	added ('OK')	text/css	etag:W/%2211e7-5fd1518434b13%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4545.css?ver=1685641926	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4545005e.css	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:50	823/823	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab32ed4bc94366403d9ee7105ada2fb8%22	https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/feed/	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/find-your-perfect-fit/feed/index.html	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:50	18221/18221	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:07:52%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/wp/v2/posts/4066	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/wp/v2/posts/4066.json	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:51	2436/2436	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:07:53%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwedding.nicdark.com%2Fwedding-planner%2Ffind-your-perfect-fit%2F	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed5848.json	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Dec%202023%2020:07:53%20GMT	https://wedding.nicdark.com/wedding-planner/?p=4066	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/index4ca3.html	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:52	2624/2624	---MCZ	200	added ('OK')	text/xml	date:Fri,%2001%20Dec%202023%2020:07:53%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwedding.nicdark.com%2Fwedding-planner%2Ffind-your-perfect-fit%2F&format=xml	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed6c94	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:52	91241/91241	---M--	200	added ('OK')	image/jpeg	etag:%2216469-5f572f7181f4a%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/post-06-1024x683.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/post-06-1024x683.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:54	26530/26530	---M--	200	added ('OK')	image/jpeg	etag:%2267a2-5f4926613c16a%22	http://wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-02.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-02.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:54	32510/32510	---MCZ	200	added ('OK')	text/css	etag:W/%227efe-5fce8cd55154a%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:57	20723/20723	---M--	200	added ('OK')	image/jpeg	etag:%2250f3-5f492e392b54c%22	http://wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-03.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-03.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:58	21521/21521	---M--	200	added ('OK')	image/jpeg	etag:%225411-5f491469af820%22	http://wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-01.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-atelier/wp-content/uploads/sites/5/2023/02/avatar-01.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:58	77516/77516	---M--	200	added ('OK')	image/jpeg	etag:%2212ecc-5f572369c0074%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral-08-1-1024x683.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral-08-1-1024x683.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:58	96638/96638	---M--	200	added ('OK')	image/jpeg	etag:%221797e-5f5728526b1fa%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral-09-1024x683.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral-09-1024x683.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
